Program Name,University Name,City,Country,Tuition Fee,Duration,Average Rating,Review Count,Ranking_Percentage,Program Link
Information Systems,University of Münster,Münster,Germany,Free,2 years,4.6,101,1%,https://www.mastersportal.com/studies/11563/information-systems.html?ref=search_card
Computer Science,Vrije Universiteit Amsterdam,Amsterdam,Netherlands,"3,403,910 BDT / year",2 years,4.2,149,1%,https://www.mastersportal.com/studies/10162/computer-science.html?ref=search_card
Computer Science,University of Twente (UT),Enschede,Netherlands,"2,663,929 BDT / year",2 years,4.1,74,2%,https://www.mastersportal.com/studies/354/computer-science.html?ref=search_card
"Philosophy of Science, Technology and Society",University of Twente (UT),Enschede,Netherlands,"2,226,988 BDT / year",2 years,4.1,74,2%,https://www.mastersportal.com/studies/366/philosophy-of-science-technology-and-society.html?ref=search_card
Informatics,University of Bergen,Bergen,Norway,,2 years,4.1,27,2%,https://www.mastersportal.com/studies/391/informatics.html?ref=search_card
Computer Simulations for Science and Engineering,KTH Royal Institute of Technology,Stockholm,Sweden,"2,537,075 BDT / year",2 years,4.3,44,1%,https://www.mastersportal.com/studies/14897/computer-simulations-for-science-and-engineering.html?ref=search_card
Software Design,IT University of Copenhagen,Copenhagen,Denmark,"1,887,128 BDT / year",2 years,3.4,8,,https://www.mastersportal.com/studies/12966/software-design.html?ref=search_card
Computer and Systems Sciences,Stockholm University,Stockholm,Sweden,"1,725,889 BDT / year",2 years,3.9,98,1%,https://www.mastersportal.com/studies/9094/computer-and-systems-sciences.html?ref=search_card
Information Systems,University of West London,England,United Kingdom,"2,767,115 BDT / year",1 year,4.4,88,,https://www.mastersportal.com/studies/11504/information-systems.html?ref=search_card
Management of Information Systems and Technology,Coventry University,England,United Kingdom,"3,216,269 BDT / year",1 year,4.1,593,4%,https://www.mastersportal.com/studies/7201/management-of-information-systems-and-technology.html?ref=search_card
Artificial Intelligence,Maastricht University,Maastricht,Netherlands,"3,523,716 BDT / year",2 years,4.2,211,1%,https://www.mastersportal.com/studies/13110/artificial-intelligence.html?ref=search_card
Electrical and Computer Engineering,University of Wyoming,Wyoming,United States,"2,451,736 BDT / year",1 year,5,3,4%,https://www.mastersportal.com/studies/117492/electrical-and-computer-engineering.html?ref=search_card
"Business, Concentration in Branding - Experience Design",Virginia Commonwealth University,Virginia,United States,"3,849,421 BDT / year",1 year,4.1,17,3%,https://www.mastersportal.com/studies/115234/business-concentration-in-branding-experience-design.html?ref=search_card
Economics - Applied Economics and Predictive Analytics,Southern Methodist University,Texas,United States,"4,569,588 BDT / year",1 year,4.5,6,5%,https://www.mastersportal.com/studies/120134/economics-applied-economics-and-predictive-analytics.html?ref=search_card
Computer Science,The University of Iowa,Iowa,United States,"3,993,942 BDT / year",1 year,4.3,4,2%,https://www.mastersportal.com/studies/111780/computer-science.html?ref=search_card
Information Systems - Network and Security Management,Illinois State University,Illinois,United States,"1,925,076 BDT / year",2 years,4.5,25,9%,https://www.mastersportal.com/studies/110881/information-systems-network-and-security-management.html?ref=search_card
Computer Science,University of Rhode Island,Rhode Island,United States,"3,787,762 BDT / year",2 years,4.6,7,4%,https://www.mastersportal.com/studies/113111/computer-science.html?ref=search_card
Electrical and Computer Engineering,University of Wyoming,Wyoming,United States,"2,451,736 BDT / year",1 year,5,3,4%,https://www.mastersportal.com/studies/117492/electrical-and-computer-engineering.html?ref=search_card
"Business, Concentration in Branding - Experience Design",Virginia Commonwealth University,Virginia,United States,"3,849,421 BDT / year",1 year,4.1,17,3%,https://www.mastersportal.com/studies/115234/business-concentration-in-branding-experience-design.html?ref=search_card
Computer Science,Georgetown University,D.C.,United States,"6,386,822 BDT / year",2 years,4.5,51,2%,https://www.mastersportal.com/studies/113695/computer-science.html?ref=search_card
Computer Science,San Francisco State University,California,United States,"1,202,716 BDT / year",1 year,4.2,11,7%,https://www.mastersportal.com/studies/107239/computer-science.html?ref=search_card
Computer Science,Florida Institute of Technology,Florida,United States,"4,935,155 BDT / year",1 year,4.1,48,6%,https://www.mastersportal.com/studies/106292/computer-science.html?ref=search_card
Information and Computer Engineering,Graz University of Technology (TU Graz),Graz,Austria,"204,939 BDT / year",2 years,4.2,29,3%,https://www.mastersportal.com/studies/108697/information-and-computer-engineering.html?ref=search_card
Information Systems,Baylor University,Texas,United States,"9,691,182 BDT / year",1 year,4.2,47,3%,https://www.mastersportal.com/studies/106816/information-systems.html?ref=search_card
Information Networking,Carnegie Mellon University,Pennsylvania,United States,"7,347,897 BDT / year",1 year,4.3,24,0.50%,https://www.mastersportal.com/studies/102459/information-networking.html?ref=search_card
Geographic and Cartographic Sciences,George Mason University,Virginia,United States,"4,445,295 BDT / year",1 year,4,105,3%,https://www.mastersportal.com/studies/102960/geographic-and-cartographic-sciences.html?ref=search_card
Geographic Information Science and Technology,Georgia Institute of Technology,Georgia,United States,"4,295,656 BDT / year",1 year,4.3,44,0.50%,https://www.mastersportal.com/studies/101055/geographic-information-science-and-technology.html?ref=search_card
Computer Science,University of Bedfordshire,England,United Kingdom,"2,710,970 BDT / year",1 year,4.1,91,,https://www.mastersportal.com/studies/103089/computer-science.html?ref=search_card
Computer Science,University of North Carolina Greensboro,North Carolina,United States,"2,842,649 BDT / year",1 year,3.7,7,6%,https://www.mastersportal.com/studies/103476/computer-science.html?ref=search_card
Information Science and Technology,Temple University,Pennsylvania,United States,"6,452,258 BDT / year",1 year,4.2,75,2%,https://www.mastersportal.com/studies/88406/information-science-and-technology.html?ref=search_card
Robotics and Artificial Intelligence,ITMO University,N/A,Multiple locations,"662,777 BDT / year",2 years,4,34,4%,https://www.mastersportal.com/studies/83863/robotics-and-artificial-intelligence.html?ref=search_card
Software Engineering,New Jersey Institute of Technology,New Jersey,United States,"4,038,053 BDT / year",1 year,4.5,54,4%,https://www.mastersportal.com/studies/105260/software-engineering.html?ref=search_card
Computational Science and Engineering,Georgia Institute of Technology,Georgia,United States,"3,913,517 BDT / year",1 year,4.3,44,0.50%,https://www.mastersportal.com/studies/101138/computational-science-and-engineering.html?ref=search_card
Information Systems,Georgia State University,Georgia,United States,"6,128,122 BDT / year",1 year,4.3,61,3%,https://www.mastersportal.com/studies/103955/information-systems.html?ref=search_card
Information Systems,New Jersey Institute of Technology,New Jersey,United States,"4,038,053 BDT / year",1 year,4.5,54,4%,https://www.mastersportal.com/studies/105051/information-systems.html?ref=search_card
Computer Science,Dartmouth College,New Hampshire,United States,"11,303,333 BDT / year",1 year,4.5,6,2%,https://www.mastersportal.com/studies/95485/computer-science.html?ref=search_card
Human-Computer Interaction,Indiana University Bloomington,Indiana,United States,"3,941,300 BDT / year",2 years,4,195,1%,https://www.mastersportal.com/studies/96811/human-computer-interaction.html?ref=search_card
Computer Engineering,University of Southern California,California,United States,"9,092,871 BDT / year",1 year,4.1,62,0.50%,https://www.mastersportal.com/studies/100950/computer-engineering.html?ref=search_card
Electrical Engineering - Computer Networks,University of Southern California,California,United States,"8,768,125 BDT / year",1 year,4.1,62,0.50%,https://www.mastersportal.com/studies/100957/electrical-engineering-computer-networks.html?ref=search_card
Computational Science,University of Texas El Paso,Texas,United States,"2,136,130 BDT / year",1 year,4.3,19,5%,https://www.mastersportal.com/studies/100304/computational-science.html?ref=search_card
Computer Science,University of Pittsburgh,Pennsylvania,United States,"5,773,278 BDT / year",1 year,4,7,1%,https://www.mastersportal.com/studies/99760/computer-science.html?ref=search_card
Computer Science,University of Texas El Paso,Texas,United States,"2,136,130 BDT / year",1 year,4.3,19,5%,https://www.mastersportal.com/studies/100237/computer-science.html?ref=search_card
Computer Science,Texas A&M University,Texas,United States,"2,805,361 BDT / year",1 year,4.3,20,1%,https://www.mastersportal.com/studies/98509/computer-science.html?ref=search_card
Information Systems Management,University of Huddersfield,England,United Kingdom,"2,646,805 BDT / year",1 year,4.3,61,4%,https://www.mastersportal.com/studies/83161/information-systems-management.html?ref=search_card
Electrical & Computer Engineering,Old Dominion University,Virginia,United States,"4,880,320 BDT / year",1 year,4.3,13,5%,https://www.mastersportal.com/studies/131289/electrical-computer-engineering.html?ref=search_card
Information and Communications Technology - Technology Management,University of Denver,Colorado,United States,"4,878,127 BDT / year",1½ year,4.7,6,5%,https://www.mastersportal.com/studies/128584/information-and-communications-technology-technology-management.html?ref=search_card
Computer Engineering - Electrical Engineering,Arizona State University,Arizona,United States,"3,698,076 BDT / year",1 year,4.3,242,1%,https://www.mastersportal.com/studies/130594/computer-engineering-electrical-engineering.html?ref=search_card
Health Informatics,The University of Alabama at Birmingham,Alabama,United States,"5,977,021 BDT / year",2 years,3.5,13,3%,https://www.mastersportal.com/studies/131079/health-informatics.html?ref=search_card
Human-Computer Interaction,DePaul University,Illinois,United States,"3,114,387 BDT / year",2 years,4,21,9%,https://www.mastersportal.com/studies/132532/human-computer-interaction.html?ref=search_card
Geological Sciences,Arizona State University,Arizona,United States,"3,698,076 BDT / year",1 year,4.3,242,1%,https://www.mastersportal.com/studies/131709/geological-sciences.html?ref=search_card
Computer Science - Big Data Systems,Arizona State University,Arizona,United States,"3,698,076 BDT / year",1 year,4.3,242,1%,https://www.mastersportal.com/studies/130608/computer-science-big-data-systems.html?ref=search_card
Computer Engineering,Northwestern University,Illinois,United States,"5,598,781 BDT / year",1 year,4.2,55,0.50%,https://www.mastersportal.com/studies/134725/computer-engineering.html?ref=search_card
Computer Engineering,University of Denver,Colorado,United States,"6,225,607 BDT / year",1 year,4.7,6,5%,https://www.mastersportal.com/studies/129433/computer-engineering.html?ref=search_card
Health Systems and Prevention,University of Groningen,Groningen,Netherlands,"3,509,621 BDT / year",2 years,4.2,135,0.50%,https://www.mastersportal.com/studies/285746/health-systems-and-prevention.html?ref=search_card
Information Assurance,University Teknologi Malaysia,Kuala Lumpur,Malaysia,"386,553 BDT / year",2 years,4.3,70,3%,https://www.mastersportal.com/studies/268150/information-assurance.html?ref=search_card
Information and Communication Technology,Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),Erlangen,Germany,Free,2 years,4.1,47,1%,https://www.mastersportal.com/studies/308814/information-and-communication-technology.html?ref=search_card
Computer Science - Innovation for Change in a Digital Society,Malmö University,Malmö,Sweden,"1,757,849 BDT / year",2 years,4,61,9%,https://www.mastersportal.com/studies/309742/computer-science-innovation-for-change-in-a-digital-society.html?ref=search_card
Medical Informatics,University of Tübingen,Tübingen,Germany,"422,846 BDT / year",2 years,4,28,1%,https://www.mastersportal.com/studies/279759/medical-informatics.html?ref=search_card
Renewable Energy and Data Engineering,Offenburg University of Applied Sciences,Offenburg,Germany,"422,846 BDT / year",1½ year,4.7,11,,https://www.mastersportal.com/studies/280771/renewable-energy-and-data-engineering.html?ref=search_card
Applied Data Analytics,Boston University,Massachusetts,United States,"8,124,118 BDT / year",8 months,4.1,89,0.50%,https://www.mastersportal.com/studies/287373/applied-data-analytics.html?ref=search_card
Information Systems,Texas A&M University Central Texas,Texas,United States,"1,547,080 BDT / year",1 year,4.6,7,,https://www.mastersportal.com/studies/294446/information-systems.html?ref=search_card
Computer Science - Informatique,Swansea University,Wales,United Kingdom,"1,780,578 BDT / year",2 years,4.2,113,2%,https://www.mastersportal.com/studies/297129/computer-science-informatique.html?ref=search_card
Health Informatics,UCL,England,United Kingdom,"5,855,054 BDT / year",1 year,4.1,138,0.10%,https://www.mastersportal.com/studies/293994/health-informatics.html?ref=search_card
Internet of Things with Data Science,University of Salford,England,United Kingdom,"3,063,878 BDT / year",1 year,4.3,145,5%,https://www.mastersportal.com/studies/368784/internet-of-things-with-data-science.html?ref=search_card
Data Science and AI for the Creative Industries,University of the Arts London (UAL),England,United Kingdom,"4,810,769 BDT / year",1 year,4.1,79,,https://www.mastersportal.com/studies/299463/data-science-and-ai-for-the-creative-industries.html?ref=search_card
Mathematics and Computer Science,Saarland University,Saarbrücken,Germany,Free,2 years,4,22,4%,https://www.mastersportal.com/studies/316187/mathematics-and-computer-science.html?ref=search_card
Computer Science - Intelligent Systems,Trinity College Dublin,Dublin,Ireland,"3,916,963 BDT / year",1 year,4.1,123,1%,https://www.mastersportal.com/studies/307427/computer-science-intelligent-systems.html?ref=search_card
Network Management and Cloud Computing,Middlesex University,England,United Kingdom,"2,887,424 BDT / year",1 year,4.1,143,5%,https://www.mastersportal.com/studies/272813/network-management-and-cloud-computing.html?ref=search_card
Information Security and Intelligence,Ferris State University,Michigan,United States,"4,394,116 BDT / year",1 year,4.1,8,,https://www.mastersportal.com/studies/275546/information-security-and-intelligence.html?ref=search_card
Computing Science,Oxford Brookes University,England,United Kingdom,"3,144,084 BDT / year",1 year,4.1,91,4%,https://www.mastersportal.com/studies/276044/computing-science.html?ref=search_card
Data Science in Business and Economics,University of Tübingen,Tübingen,Germany,"422,846 BDT / year",2 years,4,28,1%,https://www.mastersportal.com/studies/279593/data-science-in-business-and-economics.html?ref=search_card
Artificial Intelligence and Computer Science,Northeastern University London,England,United Kingdom,"3,994,270 BDT / year",1 year,4.7,3,5%,https://www.mastersportal.com/studies/302888/artificial-intelligence-and-computer-science.html?ref=search_card
Machine Learning and Statistics,Uppsala University,Uppsala,Sweden,"1,853,732 BDT / year",2 years,4.2,131,0.50%,https://www.mastersportal.com/studies/288152/machine-learning-and-statistics.html?ref=search_card
Bioinformatics and Biocomplexity,Utrecht University,Utrecht,Netherlands,"3,443,657 BDT / year",2 years,4.2,138,2%,https://www.mastersportal.com/studies/286577/bioinformatics-and-biocomplexity.html?ref=search_card
Information Systems,Texas A&M University Central Texas,Texas,United States,"1,547,080 BDT / year",1 year,4.6,7,,https://www.mastersportal.com/studies/294446/information-systems.html?ref=search_card
Computer Science - Informatique,Swansea University,Wales,United Kingdom,"1,780,578 BDT / year",2 years,4.2,113,2%,https://www.mastersportal.com/studies/297129/computer-science-informatique.html?ref=search_card
Health Informatics,UCL,England,United Kingdom,"5,855,054 BDT / year",1 year,4.1,138,0.10%,https://www.mastersportal.com/studies/293994/health-informatics.html?ref=search_card
Internet of Things with Data Science,University of Salford,England,United Kingdom,"3,063,878 BDT / year",1 year,4.3,145,5%,https://www.mastersportal.com/studies/368784/internet-of-things-with-data-science.html?ref=search_card
Advanced Computer Science with Artificial Intelligence,University of Strathclyde,Scotland,United Kingdom,"4,852,476 BDT / year",1 year,4.2,66,2%,https://www.mastersportal.com/studies/318710/advanced-computer-science-with-artificial-intelligence.html?ref=search_card
Data Science,New York Institute of Technology,New York,United States,"6,141,526 BDT / year",1 year,4,14,,https://www.mastersportal.com/studies/320889/data-science.html?ref=search_card
Pharmacology with Data Analytics,University of Bedfordshire,England,United Kingdom,"2,710,970 BDT / year",2 years,4.1,91,,https://www.mastersportal.com/studies/318115/pharmacology-with-data-analytics.html?ref=search_card
Education Data Science,Stanford University,California,United States,"3,226,738 BDT / year",2 years,4.1,56,0.10%,https://www.mastersportal.com/studies/317046/education-data-science.html?ref=search_card
High Performance Computing and Quantum Computing,Deggendorf Institute of Technology,Deggendorf,Germany,Free,1½ year,4.2,76,,https://www.mastersportal.com/studies/314609/high-performance-computing-and-quantum-computing.html?ref=search_card
Health Informatics,University of Minnesota,Minnesota,United States,"5,058,473 BDT / year",2 years,4.2,48,3%,https://www.mastersportal.com/studies/318314/health-informatics.html?ref=search_card
Computer Science,London School of Business and Finance Singapore Campus,Singapore,Singapore,"2,040,562 BDT / year",1 year,5,1,,https://www.mastersportal.com/studies/317403/computer-science.html?ref=search_card
Applied Building Information Modelling and Management,Technological University Dublin,England,United Kingdom,"1,141,684 BDT / year",1 year,3.9,90,8%,https://www.mastersportal.com/studies/315326/applied-building-information-modelling-and-management.html?ref=search_card
UX Design,Hussian College Los Angeles,California,United States,"1,246,827 BDT / year",2 years,,,,https://www.mastersportal.com/studies/312046/ux-design.html?ref=search_card
Business Analytics,University of West London,England,United Kingdom,"2,767,115 BDT / year",1 year,4.4,88,,https://www.mastersportal.com/studies/313230/business-analytics.html?ref=search_card
Media Arts and Sciences,University at Buffalo,New York,United States,"3,045,173 BDT / year",1 year,4.3,50,2%,https://www.mastersportal.com/studies/322594/media-arts-and-sciences.html?ref=search_card
Social Scientific Data Analysis,Lund University,Lund,Sweden,"1,598,045 BDT / year",2 years,4.5,111,0.50%,https://www.mastersportal.com/studies/314428/social-scientific-data-analysis.html?ref=search_card
Computational Neuroscience,TU Berlin,Berlin,Germany,Free,2 years,4,60,1%,https://www.mastersportal.com/studies/311231/computational-neuroscience.html?ref=search_card
Computer Science and Technology,Northwestern Polytechnical University,Xi'an,China,"515,992 BDT / year",2½ years,4.1,22,2%,https://www.mastersportal.com/studies/311217/computer-science-and-technology.html?ref=search_card
Computer Science - Artificial Intelligence,Lakehead University,Thunder Bay,Canada,"1,468,687 BDT / year",2 years,4,57,8%,https://www.mastersportal.com/studies/309299/computer-science-artificial-intelligence.html?ref=search_card
Artificial Intelligence,University of East London,England,United Kingdom,"2,685,304 BDT / year",1 year,4.3,165,8%,https://www.mastersportal.com/studies/313390/artificial-intelligence.html?ref=search_card
Information Systems with Computing,Dublin Business School,Dublin,Ireland,"2,043,755 BDT / year",1 year,4.5,65,,https://www.mastersportal.com/studies/277584/information-systems-with-computing.html?ref=search_card
Data Analytics and Business Computing,NYU Shanghai,Shanghai,China,"8,843,798 BDT / year",1 year,,,,https://www.mastersportal.com/studies/291440/data-analytics-and-business-computing.html?ref=search_card
Economic and Business Analytics,Johannes Kepler University Linz,Linz,Austria,"204,939 BDT / year",2 years,4.2,21,3%,https://www.mastersportal.com/studies/282609/economic-and-business-analytics.html?ref=search_card
Advanced Computer Science with Artificial Intelligence,University of Strathclyde,Scotland,United Kingdom,"4,852,476 BDT / year",1 year,4.2,66,2%,https://www.mastersportal.com/studies/318710/advanced-computer-science-with-artificial-intelligence.html?ref=search_card
Data Science,New York Institute of Technology,New York,United States,"6,141,526 BDT / year",1 year,4,14,,https://www.mastersportal.com/studies/320889/data-science.html?ref=search_card
Pharmacology with Data Analytics,University of Bedfordshire,England,United Kingdom,"2,710,970 BDT / year",2 years,4.1,91,,https://www.mastersportal.com/studies/318115/pharmacology-with-data-analytics.html?ref=search_card
Data Science,Michigan State University,Michigan,United States,"4,752,371 BDT / year",1 year,4,28,1%,https://www.mastersportal.com/studies/326521/data-science.html?ref=search_card
Cybersecurity,Old Dominion University,Virginia,United States,"4,880,320 BDT / year",1 year,4.3,13,5%,https://www.mastersportal.com/studies/337189/cybersecurity.html?ref=search_card
Electrical and Computer Engineering,Rutgers University,New Jersey,United States,"4,723,126 BDT / year",1 year,4.2,64,2%,https://www.mastersportal.com/studies/329490/electrical-and-computer-engineering.html?ref=search_card
Information Technology (By Research),Multimedia University,Melaka,Malaysia,"181,446 BDT / year",1 year,4.2,38,8%,https://www.mastersportal.com/studies/329499/information-technology.html?ref=search_card
Cybersecurity,University of Houston,Texas,United States,"2,167,813 BDT / year",2 years,4.3,27,2%,https://www.mastersportal.com/studies/332026/cybersecurity.html?ref=search_card
Data Science and Analytics,University Kebangsaan Malaysia,Kuala Lumpur,Malaysia,"1,068,022 BDT / year",1 year,4.3,41,2%,https://www.mastersportal.com/studies/329794/data-science-and-analytics.html?ref=search_card
Computer Graphics Technology,Purdue University,Indiana,United States,"3,683,453 BDT / year",2 years,4.5,33,0.50%,https://www.mastersportal.com/studies/330534/computer-graphics-technology.html?ref=search_card
Project Management with Data Analytics,University of Bedfordshire,England,United Kingdom,"2,935,548 BDT / year",2 years,4.1,91,,https://www.mastersportal.com/studies/318118/project-management-with-data-analytics.html?ref=search_card
Data Science,Athens University of Economics and Business,Athens,Greece,"845,692 BDT / year",1 year,4.1,90,8%,https://www.mastersportal.com/studies/323806/data-science.html?ref=search_card
Geoinformatics,The City University of New York,New York,United States,"2,500,479 BDT / year",1 year,4.2,39,8%,https://www.mastersportal.com/studies/322710/geoinformatics.html?ref=search_card
Computer Engineering,Case Western Reserve University,Ohio,United States,"6,768,839 BDT / year",1 year,4.5,14,1%,https://www.mastersportal.com/studies/323302/computer-engineering.html?ref=search_card
Data Science,Hofstra University,New York,United States,"6,433,980 BDT / year",1 year,4.5,13,,https://www.mastersportal.com/studies/327690/data-science.html?ref=search_card
Business Analytics,University of South Carolina,South Carolina,United States,"8,042,475 BDT / year",1 year,3.7,7,4%,https://www.mastersportal.com/studies/324288/business-analytics.html?ref=search_card
Computer Science,University of Kentucky,Kentucky,United States,"4,548,385 BDT / year",1 year,3.7,7,2%,https://www.mastersportal.com/studies/325002/computer-science.html?ref=search_card
Information Technology,Universiti Utara Malaysia (UUM),N/A,Multiple locations,"544,337 BDT / year",1 year,4.2,28,5%,https://www.mastersportal.com/studies/366408/information-technology.html?ref=search_card
Data Science and Business Analytics,University of Amsterdam,Amsterdam,Netherlands,"3,084,661 BDT / year",1 year,4.2,125,0.50%,https://www.mastersportal.com/studies/370343/data-science-and-business-analytics.html?ref=search_card
Applied Image and Signal Processing,Salzburg University of Applied Sciences,Salzburg,Austria,"204,657 BDT / year",2 years,3.6,23,,https://www.mastersportal.com/studies/363641/applied-image-and-signal-processing.html?ref=search_card
Computer Science,Cracow University of Technology,Kraków,Poland,"422,846 BDT / year",1½ year,3.8,38,7%,https://www.mastersportal.com/studies/359045/computer-science.html?ref=search_card
Dual Degree in Applied Economics and Data Science,George Washington University,D.C.,United States,"7,644,007 BDT / year",1 year,4.2,43,2%,https://www.mastersportal.com/studies/362689/dual-degree-in-applied-economics-and-data-science.html?ref=search_card
Actuarial Science with Business Analytics,"City, University of London",England,United Kingdom,"4,170,723 BDT / year",1 year,4.2,86,5%,https://www.mastersportal.com/studies/374002/actuarial-science-with-business-analytics.html?ref=search_card
Data Science,Sabanci University,Istanbul,Turkey,"2,985,464 BDT / year",2 years,4.3,83,3%,https://www.mastersportal.com/studies/366258/data-science.html?ref=search_card
Automated Science,Carnegie Mellon University,Pennsylvania,United States,"6,631,386 BDT / year",2 years,4.3,24,0.50%,https://www.mastersportal.com/studies/362062/automated-science.html?ref=search_card
Public Health Data Science,Temple University,Pennsylvania,United States,"6,975,019 BDT / year",1 year,4.2,75,2%,https://www.mastersportal.com/studies/370715/public-health-data-science.html?ref=search_card
Computer Science,Southern Methodist University,Texas,United States,"4,660,980 BDT / year",1 year,4.5,6,5%,https://www.mastersportal.com/studies/355576/computer-science.html?ref=search_card
IT (Product Design),University of Southern Denmark,Sønderborg,Denmark,"1,959,186 BDT / year",2 years,4,36,2%,https://www.mastersportal.com/studies/368959/it.html?ref=search_card
Cybersecurity,Southern Methodist University,Texas,United States,"6,229,262 BDT / year",1 year,4.5,6,5%,https://www.mastersportal.com/studies/355578/cybersecurity.html?ref=search_card
Information and Communication Technology,Universiti Utara Malaysia (UUM),Kuala Kedah,Malaysia,"544,337 BDT / year",1 year,4.2,28,5%,https://www.mastersportal.com/studies/366403/information-and-communication-technology.html?ref=search_card
Biotechnology with Business Management,UCSI University,Kuala Lumpur,Malaysia,"1,011,464 BDT / year",1½ year,3.7,15,5%,https://www.mastersportal.com/studies/356951/biotechnology-with-business-management.html?ref=search_card
Computer Science and Technology,Xidian University,Xi'an,China,"378,394 BDT / year",3 years,4,10,4%,https://www.mastersportal.com/studies/369637/computer-science-and-technology.html?ref=search_card
Intelligent Information Systems,Carnegie Mellon University,Pennsylvania,United States,"6,799,547 BDT / year","1 year, 9 months",4.3,24,0.50%,https://www.mastersportal.com/studies/362113/intelligent-information-systems.html?ref=search_card
Cybersecurity,Universiti Utara Malaysia (UUM),Bukit Mertajam,Malaysia,"531,060 BDT / year",1 year,4.2,28,5%,https://www.mastersportal.com/studies/366406/cybersecurity.html?ref=search_card
Computing and Information Systems,University of South Wales,Wales,United Kingdom,"2,710,970 BDT / year",1 year,4.3,116,8%,https://www.mastersportal.com/studies/105061/computing-and-information-systems.html?ref=search_card
User Experience Design,Birmingham City University,England,United Kingdom,"2,840,904 BDT / year",1 year,4.1,132,5%,https://www.mastersportal.com/studies/300040/user-experience-design.html?ref=search_card
Multimedia Informatics,METU Middle East Technical University,Ankara,Turkey,"182,784 BDT / year",2 years,4.3,379,3%,https://www.mastersportal.com/studies/281734/multimedia-informatics.html?ref=search_card
Computational Mechanics of Materials and Structures,University of Stuttgart,Stuttgart,Germany,"211,423 BDT / year",2 years,4.5,93,2%,https://www.mastersportal.com/studies/342441/computational-mechanics-of-materials-and-structures.html?ref=search_card
Analytical Chemistry,Ankara University,Ankara,Turkey,,2 years,4.1,344,4%,https://www.mastersportal.com/studies/345226/analytical-chemistry.html?ref=search_card
BIM A+ European Master in Building Information Modelling,University of Minho,Guimarães,Portugal,"916,166 BDT / year",10 months,4.1,103,3%,https://www.mastersportal.com/studies/344245/bim-a-european-master-in-building-information-modelling.html?ref=search_card
Data Analytics for Business,KEDGE Business School,Bordeaux,France,"2,466,601 BDT / year",1 year,4.3,34,,https://www.mastersportal.com/studies/343222/data-analytics-for-business.html?ref=search_card
Data Science,The University of Montana,Montana,United States,"1,645,052 BDT / year",1 year,5,3,7%,https://www.mastersportal.com/studies/341960/data-science.html?ref=search_card
Applied Data Science in Engineering,Glasgow Caledonian University,Scotland,United Kingdom,"3,015,754 BDT / year",1 year,4.4,95,5%,https://www.mastersportal.com/studies/344675/applied-data-science-in-engineering.html?ref=search_card
Cybersecurity,University of North Texas,Texas,United States,"1,959,439 BDT / year",1 year,4.3,27,4%,https://www.mastersportal.com/studies/354908/cybersecurity.html?ref=search_card
Artificial Intelligence and Human Factors,Coventry University,England,United Kingdom,"2,983,671 BDT / year",1 year,4.1,593,4%,https://www.mastersportal.com/studies/349182/artificial-intelligence-and-human-factors.html?ref=search_card
Statistics (Data Science),Imperial,England,United Kingdom,"5,726,724 BDT / year",1 year,4.3,56,0.10%,https://www.mastersportal.com/studies/374198/statistics.html?ref=search_card
Geospatial Sciences,Lamar University,Texas,United States,"1,676,734 BDT / year",1 year,4.3,3,,https://www.mastersportal.com/studies/353436/geospatial-sciences.html?ref=search_card
Computational Science,University of Regensburg,Regensburg,Germany,Free,2 years,4.1,13,4%,https://www.mastersportal.com/studies/352333/computational-science.html?ref=search_card
Data Science,University of North Texas,Texas,United States,"1,959,439 BDT / year",1 year,4.3,27,4%,https://www.mastersportal.com/studies/354910/data-science.html?ref=search_card
Computer Science,Birmingham City University,England,United Kingdom,"2,840,904 BDT / year",1 year,4.1,132,5%,https://www.mastersportal.com/studies/347738/computer-science.html?ref=search_card
Advanced Manufacturing Systems and Technology with Robotics,Canterbury Christ Church University,England,United Kingdom,"2,486,393 BDT / year",1 year,4.3,33,9%,https://www.mastersportal.com/studies/345941/advanced-manufacturing-systems-and-technology-with-robotics.html?ref=search_card
Cybersecurity and Digital Forensics,MARA Technological University,Kuala Lumpur,Malaysia,"452,375 BDT / year",1½ year,4.3,162,5%,https://www.mastersportal.com/studies/347812/cybersecurity-and-digital-forensics.html?ref=search_card
Artificial Intelligence and Data Science,Kaplan Singapore,Singapore,Singapore,"1,478,378 BDT / year",2 years,4.3,46,,https://www.mastersportal.com/studies/349277/artificial-intelligence-and-data-science.html?ref=search_card
Artificial Intelligence for Sustainable Development,UCL,England,United Kingdom,"6,384,415 BDT / year",1 year,4.1,138,0.10%,https://www.mastersportal.com/studies/344624/artificial-intelligence-for-sustainable-development.html?ref=search_card
Human-Computer Interaction and User Experience,Drexel University,Pennsylvania,United States,"4,060,475 BDT / year",2 years,4.3,160,3%,https://www.mastersportal.com/studies/350867/human-computer-interaction-and-user-experience.html?ref=search_card
Data Science and Statistical Learning,University of Limerick,Limerick,Ireland,"2,833,068 BDT / year",1 year,4.2,129,3%,https://www.mastersportal.com/studies/351625/data-science-and-statistical-learning.html?ref=search_card
Artificial Intelligence for Biomedicine and Healthcare,UCL,England,United Kingdom,"6,384,415 BDT / year",1 year,4.1,138,0.10%,https://www.mastersportal.com/studies/344625/artificial-intelligence-for-biomedicine-and-healthcare.html?ref=search_card
