Program Name,University Name,City,Country,Tuition Fee,Duration,Average Rating,Review Count,Ranking_Percentage,Program Link
Advanced Computing Science (Part time),University of East Anglia,England,United Kingdom,"3,930,105 BDT / year",2 years,4.4,39,2%,https://www.mastersportal.com/studies/282628/advanced-computing-science.html?ref=search_card
Economic Policy and Analysis,University of Westminster,England,United Kingdom,"2,165,568 BDT / year",1 year,4.3,129,6%,https://www.mastersportal.com/studies/295692/economic-policy-and-analysis.html?ref=search_card
Cyber Security,Newcastle University,England,United Kingdom,"5,085,074 BDT / year",1 year,4.3,90,1%,https://www.mastersportal.com/studies/306497/cyber-security.html?ref=search_card
Computer Science,Vrije Universiteit Brussel (VUB),Brussels,Belgium,"749,847 BDT / year",2 years,4,91,2%,https://www.mastersportal.com/studies/1439/computer-science.html?ref=search_card
Analytics,Northeastern University,N/A,Multiple locations,"6,618,591 BDT / year",1 year,4.4,79,2%,https://www.mastersportal.com/studies/262132/analytics.html?ref=search_card
Information Technology Management (Work Experience),Sheffield Hallam University,England,United Kingdom,"1,850,357 BDT / year","1 year, 8 months",4.2,89,5%,https://www.mastersportal.com/studies/444375/information-technology-management.html?ref=search_card
Computing Science (Part Time),University of East Anglia,England,United Kingdom,"3,930,105 BDT / year",2 years,4.4,39,2%,https://www.mastersportal.com/studies/282631/computing-science.html?ref=search_card
Smart Manufacturing Systems,Ulster University,Derry,Ireland,"2,856,946 BDT / year",1 year,4.2,57,3%,https://www.mastersportal.com/studies/319140/smart-manufacturing-systems.html?ref=search_card
Advanced Computer Networks,Sheffield Hallam University,England,United Kingdom,"2,983,671 BDT / year",1 year,4.2,89,5%,https://www.mastersportal.com/studies/87447/advanced-computer-networks.html?ref=search_card
Digitalization and Automation,PFH Private University of Applied Sciences,Stade,Germany,"1,522,245 BDT / year",2 years,3.9,11,,https://www.mastersportal.com/studies/349018/digitalization-and-automation.html?ref=search_card
Business Analytics,Maynooth University,Maynooth,Ireland,"2,537,075 BDT / year",1 year,4.2,63,4%,https://www.mastersportal.com/studies/462248/business-analytics.html?ref=search_card
Master of Data Science,Victoria University of Wellington,Wellington,New Zealand,"2,940,445 BDT / year",1 year,4.1,74,2%,https://www.mastersportal.com/studies/320605/master-of-data-science.html?ref=search_card
Data and Artificial Intelligence Ethics,The University of Edinburgh,Scotland,United Kingdom,"5,133,198 BDT / year",1 year,4.1,150,0.50%,https://www.mastersportal.com/studies/371895/data-and-artificial-intelligence-ethics.html?ref=search_card
Data Science for Environmental Sustainability,Cardiff University,Wales,United Kingdom,,1 year,4.4,170,1%,https://www.mastersportal.com/studies/472768/data-science-for-environmental-sustainability.html?ref=search_card
Interactive Media,University College Cork,Cork,Ireland,"3,664,665 BDT / year",1 year,4.3,173,2%,https://www.mastersportal.com/studies/352511/interactive-media.html?ref=search_card
Computing Science,Radboud University,Nijmegen,Netherlands,"2,709,597 BDT / year",2 years,4.3,92,1%,https://www.mastersportal.com/studies/8984/computing-science.html?ref=search_card
Applied Computing,University of Sunderland,England,United Kingdom,"3,047,836 BDT / year",2 years,4.2,126,,https://www.mastersportal.com/studies/347025/applied-computing.html?ref=search_card
Science and Technology Policy (with a professional placement year),University of Sussex,England,United Kingdom,"5,052,992 BDT / year",2 years,4.2,82,1%,https://www.mastersportal.com/studies/372616/science-and-technology-policy.html?ref=search_card
Psychology in Game Design and Digital Innovation,University of Surrey,England,United Kingdom,"3,496,991 BDT / year",1 year,4.4,70,2%,https://www.mastersportal.com/studies/428347/psychology-in-game-design-and-digital-innovation.html?ref=search_card
AI and Automation (2 years),University West,Trollhättan,Sweden,"1,789,810 BDT / year",2 years,3.8,27,,https://www.mastersportal.com/studies/324436/ai-and-automation.html?ref=search_card
Applied Computer Science and Artificial Intelligence,University of Bradford,England,United Kingdom,"4,072,711 BDT / year",1 year,4.4,54,4%,https://www.mastersportal.com/studies/424874/applied-computer-science-and-artificial-intelligence.html?ref=search_card
Business Analytics and Big Data,University of Dundee,Scotland,United Kingdom,"3,689,486 BDT / year",1 year,4.1,67,2%,https://www.mastersportal.com/studies/460760/business-analytics-and-big-data.html?ref=search_card
Data Science and its Applications,University of Essex,England,United Kingdom,"3,649,383 BDT / year",1 year,4.2,104,2%,https://www.mastersportal.com/studies/302866/data-science-and-its-applications.html?ref=search_card
Management and Artificial Intelligence for Business,University of Dundee,Scotland,United Kingdom,"3,689,486 BDT / year",1 year,4.1,67,2%,https://www.mastersportal.com/studies/476414/management-and-artificial-intelligence-for-business.html?ref=search_card
Software Development and Engineering,Pace University,New York,United States,"3,662,982 BDT / year",2 years,4.1,85,,https://www.mastersportal.com/studies/138722/software-development-and-engineering.html?ref=search_card
Industrial Networks and Cybersecurity,South East Technological University,Carlow,Ireland,"2,114,230 BDT / year",1 year,4.2,26,,https://www.mastersportal.com/studies/467004/industrial-networks-and-cybersecurity.html?ref=search_card
Digital Health,Bournemouth University,England,United Kingdom,"3,007,733 BDT / year",1 year,4.1,75,4%,https://www.mastersportal.com/studies/277762/digital-health.html?ref=search_card
Business Analytics,ESSCA School of Management,Boulogne-Billancourt,France,"3,072,680 BDT / year",1 year,4.4,5,,https://www.mastersportal.com/studies/486235/business-analytics.html?ref=search_card
Computer Science,Harbour.Space Institute of Technology,Barcelona,Spain,"3,227,724 BDT / year",1 year,4.2,44,,https://www.mastersportal.com/studies/288800/computer-science.html?ref=search_card
Advanced Computer Science with International Business,University of Dundee,Scotland,United Kingdom,"4,475,507 BDT / year",1 year,4.1,67,2%,https://www.mastersportal.com/studies/450054/advanced-computer-science-with-international-business.html?ref=search_card
Applied Data Science (Environment and Sustainability),The University of Exeter,England,United Kingdom,"4,587,796 BDT / year",1 year,4.3,119,1%,https://www.mastersportal.com/studies/341486/applied-data-science.html?ref=search_card
Research Methods in Psychology,Abertay University,Scotland,United Kingdom,"2,727,011 BDT / year",1 year,3.8,68,,https://www.mastersportal.com/studies/477874/research-methods-in-psychology.html?ref=search_card
Cyber Security,University of Wolverhampton,England,United Kingdom,"2,718,991 BDT / year",1 year,4.1,105,6%,https://www.mastersportal.com/studies/252729/cyber-security.html?ref=search_card
Advanced Artificial Intelligence,Newcastle University,England,United Kingdom,"5,085,074 BDT / year",1 year,4.3,90,1%,https://www.mastersportal.com/studies/306285/advanced-artificial-intelligence.html?ref=search_card
Advanced Software Engineering,University of Leicester,England,United Kingdom,"3,793,754 BDT / year",1 year,4.3,91,2%,https://www.mastersportal.com/studies/4184/advanced-software-engineering.html?ref=search_card
Financial Technology (Computer Science),University of Essex,England,United Kingdom,"3,769,692 BDT / year",1 year,4.2,104,2%,https://www.mastersportal.com/studies/297350/financial-technology.html?ref=search_card
Building Surveying,London Metropolitan University,England,United Kingdom,"3,288,455 BDT / year",1 year,4.2,136,7%,https://www.mastersportal.com/studies/474844/building-surveying.html?ref=search_card
Applied Artificial Intelligence,University of Westminster,England,United Kingdom,"2,807,218 BDT / year",1 year,4.3,128,6%,https://www.mastersportal.com/studies/476195/applied-artificial-intelligence.html?ref=search_card
Cyber Security and Technology,Cardiff University,Wales,United Kingdom,,1 year,4.4,170,1%,https://www.mastersportal.com/studies/361330/cyber-security-and-technology.html?ref=search_card
Hotel Administration - Management Information Systems,"University of Nevada, Las Vegas",Nevada,United States,"3,424,632 BDT / year",3 years,4.1,21,4%,https://www.mastersportal.com/studies/93195/hotel-administration-management-information-systems.html?ref=search_card
Business Analytics,Queen Mary University of London,England,United Kingdom,"5,373,817 BDT / year",1 year,4.1,120,1%,https://www.mastersportal.com/studies/154967/business-analytics.html?ref=search_card
